Ticker;Quantity;TargetPercent;Type;Price
BBAS3;10;(0.4  * 0.28 * (1 / 3));BR;0
BBDC3;44;(0.4  * 0.28 * (1 / 3));BR;0
SANB3;49;(0.4  * 0.28 * (1 / 3));BR;0
AESB3;57;(0.4  * 0.45 * (1 / 5));BR;0
AURE3;53;(0.4  * 0.45 * (1 / 5));BR;0
CMIG4;46;(0.4  * 0.45 * (1 / 5));BR;0
TAEE3;68;(0.4  * 0.45 * (1 / 5));BR;0
TRPL4;27;(0.4  * 0.45 * (1 / 5));BR;0
BBSE3;16;(0.4  * 0.18 * (1 / 2));BR;0
CXSE3;34;(0.4  * 0.18 * (1 / 2));BR;0
SAPR3;109;(0.4  * 0.09 * (1));BR;0
KNRI11;6;(0.20 * 0.5  * (1 / 2));BR;0
MXRF11;94;(0.20 * 0.5  * (1 / 2));BR;0
HGLG11;2;(0.20 * 0.18 * (1 / 2));BR;0
VILG11;6;(0.20 * 0.18 * (1 / 2));BR;0
BRCR11;10;(0.20 * 0.18 * (1 / 2));BR;0
HGRE11;5;(0.20 * 0.18 * (1 / 2));BR;0
MALL11;2;(0.20 * 0.14 * (1 / 2));BR;0
XPML11;2;(0.20 * 0.14 * (1 / 2));BR;0
VOO;0,69938;(0.2  * 0.5);US;0
BIL;2,04334;(0.2  * 0.30);US;0
VNQ;1,76097;(0.2  * 0.20);US;0
BTC;0,00441275;(0.10 * 0.80);CR;0
ETH;0,02113079;(0.10 * 0.20);CR;0
RE;1650;(0.10);BR;1
